date,uf,municipio,br,km,latitude,longitude
2017-01-01,BA,RIO REAL,101,23.7,-50.19940894,-94.49999571
2017-01-01,PR,SANTO ANTONIO DA PLATINA,153,56.9,-23.36951985,309.93513107
2017-01-01,MT,VERA,163,790.0,-12.27492794,-415.55820465
2017-01-01,TO,GUARAI,0,0.0,-8.84469369,-408.51053048
2017-01-01,MG,SABARA,381,442.9,-19843262.0,-43861116.0
2017-01-01,MT,SORRISO,163,717.0,163.0,717.0
2017-01-01,PR,FOZ DO IGUACU,277,729.0,-25.45924376,-414.5838359
2017-01-01,SC,BALNEARIO CAMBORIU,101,132.0,-26.99686012,-408.65453053
2017-01-01,RJ,ANGRA DOS REIS,101,531.0,18.22380769,-824.765625
2017-01-02,MG,GRAO MOGOL,251,418.0,0.0,0.0
2017-01-02,RJ,DUQUE DE CAXIAS,40,122.0,-22.79184267,-403.28666925
2017-01-02,RS,CARAZINHO,386,165.0,0.0,0.0
2017-01-02,SC,BALNEARIO CAMBORIU,101,129.8,-2.70895468,-93.11718822
2017-01-02,BA,JAGUARARI,407,111.0,-1033382874.0,-4016764289.0
2017-01-02,MG,ARAGUARI,50,147.3,-18.73210312,-408.21195602
2017-01-02,PR,SANTA LUCIA,163,149.0,-11.59843162,-85.4296875
2017-01-02,SC,GASPAR,470,35.7,26.0,48.0
2017-01-02,GO,URUACU,153,196.1,-14.49150709,-409.15287495
2017-01-03,MG,ESTIVA,381,873.0,-22.41850506,-405.96461356
2017-01-03,RJ,PETROPOLIS,40,64.0,-22.42355504,-763.15681279
2017-01-03,BA,JAGUAQUARA,116,640.1,13.0,40.0
2017-01-03,BA,PRESIDENTE TANCREDO NEVES,101,323.4,12.55456353,-411.328125
2017-01-03,PR,VIRMOND,277,429.4,-25.37910335,-412.19342619
2017-01-04,RJ,MANGARATIBA,101,418.0,0.0,0.0
2017-01-04,SC,ITAPEMA,101,149.0,-27.11374471,311.38985395
2017-01-04,MG,TEOFILO OTONI,116,275.0,-17.83965209,-401.51307038
2017-01-04,MG,EXTREMA,381,936.1,-22.80858465,313.72114604
2017-01-04,SP,SAO JOSE DO RIO PRETO,153,71.9,-20.87001916,310.58456442
2017-01-04,SC,APIUNA,470,95.3,26.0,49.0
2017-01-05,SC,JOINVILLE,101,40.7,-26.31464368,311.12643394
2017-01-05,PR,MORRETES,277,36.5,0.0,0.0
2017-01-05,RJ,ANGRA DOS REIS,101,463.8,-84.37156598,-518.29101563
2017-01-05,SP,UBATUBA,101,37.4,23.0,45.0
2017-01-05,BA,SANTO ANTONIO DE JESUS,101,257.0,12.0,39.0
2017-01-06,MT,CAMPO VERDE,364,315.7,158.0,553.0
2017-01-06,DF,BRASILIA,40,5.5,-9.10209674,-105.02929688
2017-01-06,MG,CARMOPOLIS DE MINAS,381,590.0,-20.54570034,315.3493908
2017-01-07,SP,ITAPECERICA DA SERRA,116,292.0,-23.73231918,-406.89498335
2017-01-07,PR,MORRETES,277,36.3,-25.573724,-408.81826401
2017-01-07,BA,VITORIA DA CONQUISTA,116,827.0,-85.0494645,-40.0
2017-01-07,SC,IBIRAMA,470,116.5,-27.08019738,310.51439166
2017-01-07,BA,JEQUIE,116,658.0,13.0,40.0
2017-01-07,PE,OURICURI,316,91.0,7.9089,40.0163
2017-01-08,PR,COLOMBO,476,118.6,-25.35006178,-409.16551435
2017-01-08,PR,CURITIBA,277,37.5,0.0,0.0
2017-01-08,PR,MORRETES,277,35.6,0.0,0.0
2017-01-08,MG,RIBEIRAO DAS NEVES,40,515.0,-19.0,48.0
2017-01-08,SP,TAUBATE,116,109.5,-23.03114498,-405.54845517
2017-01-09,PR,CASCAVEL,277,588.0,-24.97812725,-773.44771653
2017-01-09,SC,SANTA CECILIA,116,134.5,0.0,0.0
2017-01-10,MT,COMODORO,174,467.0,-13.71439348,-419.78485107
2017-01-11,PR,ROLANDIA,369,175.5,-23324903.0,-51386349.0
2017-01-11,RS,SAO JOSE DAS MISSOES,386,100.2,-27.76014566,-413.11149359
